"card_type","card_name","banned","dealt","drafted","played","won","ADP","PWR"
"MinorImprovement","Bookmark","0","1,326","1,227","984","325","3.2","3.5"
"MinorImprovement","Bookshelf","0","1,576","1,575","1,473","451","1.3","4.1"
"MinorImprovement","Borrowed Plow","1","855","726","588","178","4.2","3.0"
"MinorImprovement","Boundary Stones","0","1,389","1,123","824","272","4.6","2.8"
"MinorImprovement","Bounty","0","927","772","596","176","3.9","2.7"
"MinorImprovement","Bouquet","0","126","50","31","6","5.7","0.7"
"MinorImprovement","Brazier","0","1,287","632","334","80","5.8","0.9"
"MinorImprovement","Bread Form","0","202","113","78","15","4.9","1.1"
"MinorImprovement","Bread Machine","0","1,342","1,240","938","294","3.6","3.1"
"MinorImprovement","Bread Paddle","0","1,053","403","208","47","5.6","0.6"
"MinorImprovement","Bread Pond","0","201","142","97","28","4.5","2.0"
"MinorImprovement","Breakfast Outdoors","0","1,347","679","311","84","5.7","0.9"
"MinorImprovement","Brewery","0","1,411","662","246","65","5.7","0.7"
"MinorImprovement","Brickyard","0","1,389","1,034","680","206","4.8","2.1"
"MinorImprovement","Broom","0","1,566","1,557","1,377","366","2.1","3.3"
"MinorImprovement","Brushwood Roof","0","1,478","1,040","718","174","4.7","1.7"
"MinorImprovement","Buck Saw","0","135","111","87","29","4.1","3.1"
"MinorImprovement","Builder's Trowel","0","1,441","1,072","639","165","4.6","1.6"
"MinorImprovement","Building Material","0","1,390","1,060","897","246","5.4","2.5"
"MinorImprovement","Buried Treasure","0","1,369","1,153","951","236","4.3","2.5"
"MinorImprovement","Butter Churn","0","974","210","78","11","5.8","0.2"
"MinorImprovement","Cabbage","0","1,066","966","666","236","3.5","3.2"
"MinorImprovement","Camembert","0","1,587","1,461","1,298","365","3.5","3.3"
"MinorImprovement","Candle Light","0","418","351","249","64","4.3","2.2"
"MinorImprovement","Candy Room","0","1,004","805","453","146","4.3","2.1"
"MinorImprovement","Canoe","0","1,099","885","575","114","4.4","1.5"
"MinorImprovement","Caravan","0","8","5","2","1","4.2","1.8"
"MinorImprovement","Carp Pond","0","1,533","1,476","1,368","415","3.1","3.9"
"MinorImprovement","Carpet","0","1,219","1,178","785","261","2.9","3.1"
"MinorImprovement","Carrot Harvester","0","956","905","634","206","3.5","3.1"
"MinorImprovement","Carrots","0","1,370","1,222","823","251","3.9","2.6"
"MinorImprovement","Cash Crop","0","1,585","1,486","1,281","372","3.3","3.4"
"MinorImprovement","Cattle Market","0","1,500","729","387","112","5.8","1.1"
"MinorImprovement","Ceramics","0","1,399","1,256","888","270","3.8","2.8"
"MinorImprovement","Chameleon","0","1,132","328","143","28","6.1","0.4"
"MinorImprovement","Changing Plans","0","1,470","831","518","146","5.1","1.4"
"MinorImprovement","Cheese Fondue","0","1,145","748","473","132","5.5","1.6"
"MinorImprovement","Cheese Slicer","0","515","265","172","31","5.3","0.9"
"MinorImprovement","Cherry Orchard","0","1,219","983","771","180","4.7","2.1"
"MinorImprovement","Chicken Coop","0","1,440","1,339","1,062","294","3.5","2.9"
"MinorImprovement","Child's Toy","0","1,217","1,101","916","219","3.9","2.6"
"MinorImprovement","Children's Playground","0","1,242","851","429","145","5.3","1.7"
"MinorImprovement","Chimney","0","1,139","732","370","105","5.1","1.3"
"MinorImprovement","Chocolade","0","1,375","1,038","783","206","5.0","2.1"
"MinorImprovement","Chophouse","0","215","175","143","36","3.9","2.4"
"MinorImprovement","Clapper","0","953","191","82","19","6.1","0.3"
"MinorImprovement","Clay Deposit","0","1,396","1,241","890","285","4.4","2.9"
"MinorImprovement","Clay Exchange","0","970","684","477","138","5.2","2.0"
"MinorImprovement","Clay Hut Extension","0","1,462","1,376","1,112","397","2.3","3.9"
"MinorImprovement","Clay Path","0","1,370","1,325","952","301","3.6","3.1"
"MinorImprovement","Clay Pit","0","1,425","1,425","1,271","370","2.0","3.7"
"MinorImprovement","Clay Roof","0","1,620","1,610","1,528","452","1.9","4.0"
"MinorImprovement","Clay Supports","0","1,640","1,509","1,162","354","2.4","3.1"
"MinorImprovement","Clay Worker's Shop","0","903","482","238","76","5.3","1.2"
"MinorImprovement","Claytablet","0","952","783","560","191","3.8","2.9"
"MinorImprovement","Clockwork Man","0","1,338","1,066","722","177","4.6","1.9"
"MinorImprovement","Clogs","0","1,552","1,456","1,107","333","3.8","3.1"
"MinorImprovement","Cloister","0","1,323","1,192","845","283","3.4","3.1"
"MinorImprovement","Coal Pit","0","541","532","493","151","2.7","4.0"
"MinorImprovement","Coarse Grain","0","863","496","324","84","5.4","1.4"
"MinorImprovement","Coffee Break","0","1,367","1,236","966","325","4.3","3.4"
"MinorImprovement","Coke Stove","0","970","395","186","42","6.0","0.6"
"MinorImprovement","Collar and Chain","0","1,336","1,304","1,117","298","2.9","3.2"
"MinorImprovement","Consolation Prize","0","922","334","101","24","6.2","0.4"
"MinorImprovement","Cook Pot","0","1,202","969","655","182","4.8","2.2"
"MinorImprovement","Cookies","0","1,574","1,388","1,123","315","3.8","2.9"
"MinorImprovement","Cooking Corner","0","1,363","1,243","904","276","4.0","2.9"
"MinorImprovement","Cooking Hearth","0","1,445","949","489","102","5.2","1.0"
"MinorImprovement","Copse","0","920","384","168","45","5.9","0.7"
"MinorImprovement","Corn Scoop","0","1,394","1,170","911","223","4.0","2.3"
"MinorImprovement","Corn Sheaf","0","1,590","1,318","1,205","345","4.4","3.1"
"MinorImprovement","Corn Storehouse","1","1,075","177","73","18","6.0","0.2"
"MinorImprovement","Corn on the Cob","0","1,187","693","433","119","5.5","1.4"
"MinorImprovement","Cornrick","0","1,343","1,071","668","163","4.4","1.7"
"MinorImprovement","Cornucopia","0","1,187","1,034","707","196","3.8","2.4"
"MinorImprovement","Costermonger's Barrow","0","1,235","1,043","706","202","3.8","2.3"
"MinorImprovement","Cotton Field","0","22","22","19","9","3.1","5.8"
"MinorImprovement","Country Silo","0","1,151","605","346","94","5.0","1.2"
"MinorImprovement","Cow Chips","0","1,166","1,028","713","235","4.3","2.9"
"MinorImprovement","Crib","0","1,422","835","597","168","5.3","1.7"
"MinorImprovement","Crooked Plow","0","1,517","1,353","1,124","262","3.4","2.5"
"MinorImprovement","Crop Rotation Field","0","1,189","1,029","856","209","4.6","2.5"
"MinorImprovement","Crystal Ball","0","895","864","759","170","3.0","2.7"
"MinorImprovement","Custom Improvements","0","820","683","530","144","4.2","2.5"
"MinorImprovement","Dairy Supply","0","854","615","327","98","5.3","1.6"
"MinorImprovement","Diamond Mine","0","1,594","1,567","1,405","439","2.5","3.9"
"MinorImprovement","Diary","0","1,589","1,515","1,328","356","3.2","3.2"
"MinorImprovement","Dictionary","0","964","721","517","98","4.5","1.5"
"MinorImprovement","Dinghy","0","1,126","844","575","126","5.0","1.6"
"MinorImprovement","Dolly's Mother","0","1,279","1,189","996","314","3.3","3.5"
"MinorImprovement","Donkey","0","1,560","1,449","1,243","456","2.5","4.2"
"MinorImprovement","Dormer","0","898","846","571","172","3.9","2.7"
"MinorImprovement","Dough","0","1,156","817","570","174","5.3","2.2"
"MinorImprovement","Dovecote","0","1,609","1,517","1,200","360","3.6","3.2"
"MinorImprovement","Dovetail Joints","0","966","908","702","223","3.2","3.3"
"MinorImprovement","Downsizing","0","1,565","1,364","1,237","360","3.0","3.3"
"MinorImprovement","Dragonfly Pond","0","8","8","7","1","2.6","1.8"
"MinorImprovement","Drained Pond","0","1,371","1,245","925","254","4.0","2.6"
"MinorImprovement","Dray","0","1,012","977","825","250","3.3","3.5"
"MinorImprovement","Driftwood","0","1,260","1,239","1,131","413","2.1","4.7"
"MinorImprovement","Drinking Trough","0","1,137","509","213","59","5.8","0.7"
"MinorImprovement","Dual Field","0","1,064","913","732","184","4.5","2.5"
"MinorImprovement","Duck Pond","0","1,602","1,590","1,530","474","2.1","4.2"
"MinorImprovement","Edible Roots","0","1,248","541","304","73","5.8","0.8"
"MinorImprovement","Educated Sheep","0","982","648","451","139","5.3","2.0"
"MinorImprovement","Eel Farm","0","873","378","262","57","5.2","0.9"
"MinorImprovement","Encircling Wall","0","1,369","959","637","233","5.0","2.4"
"MinorImprovement","Engineering","0","993","511","395","129","3.9","1.9"
"MinorImprovement","Evening Prayer","0","1,555","1,371","1,199","399","2.5","3.7"
"MinorImprovement","Executive Boar","0","1,004","933","756","249","3.7","3.5"
"MinorImprovement","Expansion Plans","0","1,017","689","431","140","3.9","2.0"
"MinorImprovement","Extensive Resume","0","874","703","572","135","3.9","2.2"
"MinorImprovement","Farm Name Sign","0","1,237","1,089","733","237","4.7","2.7"
"MinorImprovement","Farm School","0","1,335","1,089","687","207","4.1","2.2"
"MinorImprovement","Farm Stable","0","1,362","1,171","922","280","3.8","2.9"
"MinorImprovement","Farmer's Straw Hat","0","1,249","1,159","793","260","4.2","3.0"
"MinorImprovement","Feed Pellets","0","1,137","298","195","52","6.2","0.7"
"MinorImprovement","Festival Hall","0","1,432","1,089","624","187","4.6","1.9"
"MinorImprovement","Field","0","1,421","1,254","1,119","308","4.4","3.1"
"MinorImprovement","Fish Hook","0","1,245","1,057","747","182","4.6","2.1"
"MinorImprovement","Fish Pond","0","1,320","559","356","84","5.7","0.9"
"MinorImprovement","Fish Trap","0","1,301","1,283","1,148","324","2.1","3.6"
"MinorImprovement","Fishing Rod","0","1,378","790","537","93","5.1","1.0"
"MinorImprovement","Five Rings","0","1,338","1,287","1,104","299","2.7","3.2"
"MinorImprovement","Flagon","0","1,332","1,088","928","239","4.6","2.6"
"MinorImprovement","Flail","1","983","203","88","16","5.7","0.2"
"MinorImprovement","Flamingo Lake","0","1,173","937","694","170","5.0","2.1"
"MinorImprovement","Flat Hill","0","1,301","1,086","668","239","4.4","2.6"
"MinorImprovement","Flea Market","0","1,143","911","765","216","5.0","2.7"
"MinorImprovement","Fleece Factory","0","997","905","510","134","3.9","1.9"
"MinorImprovement","Flower Pots","0","1,434","1,336","1,107","282","3.6","2.8"
"MinorImprovement","Food Bank","0","855","193","94","21","5.6","0.4"
"MinorImprovement","Food Storehouse","0","1,053","955","755","204","4.0","2.8"
"MinorImprovement","Foraging","0","1,149","816","516","175","5.2","2.2"
"MinorImprovement","Foreign Labor","0","989","863","582","174","3.6","2.5"
"MinorImprovement","Foresight","0","927","887","778","241","3.6","3.7"
"MinorImprovement","Forest Pasture","0","1,386","1,383","1,220","367","2.0","3.8"
"MinorImprovement","Free-Range Chickens","0","1,110","281","84","22","6.0","0.3"
"MinorImprovement","Friendly Pastures","0","1,169","411","144","33","6.0","0.4"
"MinorImprovement","Fruit Tart","0","1,061","775","475","138","4.6","1.9"
"MinorImprovement","Fruit Tree","0","1,632","1,627","1,511","464","1.9","4.1"
"MinorImprovement","Fruit Tree House","0","1,011","372","202","64","5.1","0.9"
"MinorImprovement","Fruitcake","0","1,421","1,235","857","306","4.5","3.1"
"MinorImprovement","Full-bottomed Wig","0","1,439","1,032","590","199","5.1","2.0"
"MinorImprovement","Gate","0","378","241","136","28","5.1","1.1"
"MinorImprovement","Giant Scarecrow","0","863","684","408","106","4.6","1.8"
"MinorImprovement","Glassblowers Shop","0","1,365","925","496","162","5.1","1.7"
"MinorImprovement","Goblet","0","1,285","853","533","148","4.8","1.6"
"MinorImprovement","Gold Medal","0","1,373","1,018","627","157","5.1","1.6"
"MinorImprovement","Gold, Incense and Myrrh","0","309","270","256","94","4.1","4.3"
"MinorImprovement","Golden Rose","0","1,405","1,340","1,041","300","3.3","3.1"
"MinorImprovement","Goose Pond","0","1,562","1,556","1,424","452","2.1","4.1"
"MinorImprovement","Grain Bag","0","1,245","1,081","776","197","4.1","2.3"
"MinorImprovement","Grain Cart","0","1,378","1,275","1,020","269","3.1","2.8"
"MinorImprovement","Grain Elevator","0","1,380","1,083","693","195","4.1","2.0"
"MinorImprovement","Grain Mill Oven","0","1,356","1,102","729","207","4.2","2.2"
"MinorImprovement","Grain Shrine","0","872","726","409","127","4.4","2.1"
"MinorImprovement","Granary","0","1,569","1,309","1,058","327","3.9","3.0"
"MinorImprovement","Greenhouse","0","1,456","1,260","917","222","4.0","2.2"
"MinorImprovement","Grotto","0","1,353","1,209","971","228","3.2","2.4"
"MinorImprovement","Ground Pickaxe Plow","0","1,372","1,336","1,253","339","2.7","3.5"
"MinorImprovement","Guest","0","1,338","947","698","192","5.3","2.1"
"MinorImprovement","Guest Plow","1","920","504","355","108","4.7","1.7"
"MinorImprovement","Guest Room","1","1,320","1,301","1,044","354","1.7","3.8"
"MinorImprovement","Guild Hall","0","1,364","1,244","1,028","334","2.6","3.5"
"MinorImprovement","Gypsy's Crock","0","1,073","415","192","51","6.0","0.7"
"MinorImprovement","Half-timbered House","0","1,484","1,328","717","294","3.6","2.8"
"MinorImprovement","Hammock","0","1,391","1,007","548","212","4.5","2.2"
"MinorImprovement","Hand Mill","0","976","176","72","16","6.1","0.2"
"MinorImprovement","Handplow","0","326","278","232","63","4.0","2.8"
"MinorImprovement","Harrow","0","1,362","878","652","128","5.1","1.3"
"MinorImprovement","Harvest Totem","0","990","889","574","169","3.9","2.4"
"MinorImprovement","Hay Rake","0","1,307","1,170","971","181","3.8","2.0"
"MinorImprovement","Haystack","0","1,340","1,062","567","179","4.3","1.9"
"MinorImprovement","Heatwave","0","1,353","714","420","132","5.7","1.4"
"MinorImprovement","Heavy Cart","0","874","681","366","101","4.5","1.7"
"MinorImprovement","Heavy Plow","1","1,157","948","661","207","3.6","2.6"
"MinorImprovement","Helpful Neighbours","0","1,428","966","711","187","5.5","1.9"
"MinorImprovement","Herb Garden","0","1,371","1,266","838","237","4.1","2.5"
"MinorImprovement","Hermit's Stick","0","1,193","354","164","36","5.8","0.4"
"MinorImprovement","Hoe","0","1,164","364","224","68","5.8","0.8"
"MinorImprovement","Holiday House","0","1,116","190","65","19","5.7","0.2"
"MinorImprovement","Home Garden","0","1,405","810","529","137","5.5","1.4"
"MinorImprovement","Homework","0","1,576","1,550","1,359","465","2.4","4.2"
"MinorImprovement","Honeymoon","0","1,393","960","508","218","5.0","2.2"
"MinorImprovement","Horse","0","1,421","967","835","253","5.0","2.5"
"MinorImprovement","House Boat","0","176","160","126","31","3.4","2.5"
"MinorImprovement","House Goat","0","1,667","1,639","1,578","476","2.0","4.1"
"MinorImprovement","Huntsman's Rifle","0","1,138","805","440","101","4.9","1.3"
"MinorImprovement","Hydroponics","0","672","658","482","157","3.4","3.3"
"MinorImprovement","Ice Cooler","0","930","779","606","190","4.3","2.9"
"MinorImprovement","Imported Timber","0","1,005","691","571","265","3.2","3.8"
"MinorImprovement","Interior Design","0","1,172","522","367","125","5.3","1.5"
"MinorImprovement","Investments","0","1,104","443","248","69","6.0","0.9"
"MinorImprovement","Iron Oven","0","1,265","1,204","851","264","3.6","3.0"
"MinorImprovement","Iron Plow","0","1,364","1,334","1,189","315","2.6","3.3"
"MinorImprovement","Jungle","0","42","40","32","8","4.4","2.7"
"MinorImprovement","Keys","0","1,273","1,193","805","180","3.5","2.0"
"MinorImprovement","Kid's Corner","0","1,410","1,030","632","168","5.3","1.7"
"MinorImprovement","Kindling","0","1,278","726","401","87","5.2","1.0"
"MinorImprovement","Kitchen Cabinet","0","1,167","721","480","140","5.3","1.7"
"MinorImprovement","Kitchen Table","0","1,381","644","448","103","5.7","1.1"
"MinorImprovement","Kudzu","0","1,137","512","321","101","5.5","1.3"
"MinorImprovement","Ladder","0","1,381","1,097","751","189","3.9","2.0"
"MinorImprovement","Lamp Oil","0","1,431","1,270","972","283","4.6","2.8"
"MinorImprovement","Landing Net","0","1,386","1,347","1,166","299","2.5","3.1"
"MinorImprovement","Large Sunhat","0","1,228","1,075","827","203","3.5","2.4"
"MinorImprovement","Lasso","0","1,333","849","507","122","5.1","1.3"
"MinorImprovement","Lean-to Stable","0","182","165","126","25","3.4","2.0"
"MinorImprovement","Leftovers","0","1,038","979","744","249","3.5","3.4"
"MinorImprovement","Leggett","0","92","60","46","11","4.3","1.7"
"MinorImprovement","Lettuce Patch","0","1,582","1,505","1,269","371","2.9","3.4"
"MinorImprovement","Lighthouse","0","1,371","1,145","819","217","3.1","2.3"
"MinorImprovement","Liquid Manure","0","1,395","1,004","608","208","5.3","2.1"
"MinorImprovement","Loom","0","1,553","1,508","1,227","395","2.4","3.6"
"MinorImprovement","Lorelei","0","919","879","776","213","2.9","3.3"
"MinorImprovement","Lumber","0","1,399","1,157","942","261","4.8","2.7"
"MinorImprovement","Lumber Mill","0","64","52","37","15","4.4","3.3"
"MinorImprovement","Lumber Pile","0","1,237","735","474","129","5.0","1.5"
"MinorImprovement","Machete","0","1,185","1,119","830","209","3.6","2.5"
"MinorImprovement","Madonna Statue","0","1,142","965","599","226","4.9","2.8"
"MinorImprovement","Magnet","0","980","869","669","190","4.4","2.8"
"MinorImprovement","Manger","0","1,427","804","500","175","5.0","1.8"
"MinorImprovement","Mangrove Tree","0","843","683","489","101","4.4","1.7"
"MinorImprovement","Mansion","0","1,601","1,469","776","335","2.8","3.0"
"MinorImprovement","Manure","0","1,141","577","268","76","5.8","1.0"
"MinorImprovement","March","0","1,351","998","677","199","4.7","2.1"
"MinorImprovement","Market","0","1,011","954","848","233","3.1","3.3"
"MinorImprovement","Market Stall","0","1,372","634","342","92","5.6","1.0"
"MinorImprovement","Master Oven","0","923","863","548","164","3.6","2.5"
"MinorImprovement","Mattock","0","1,182","1,058","804","247","3.9","3.0"
"MinorImprovement","Meadow","0","1,233","1,105","863","314","3.5","3.6"
"MinorImprovement","Melon Patch","0","1,377","1,228","1,089","367","2.9","3.8"
"MinorImprovement","Menagerie","0","1,265","1,161","953","310","3.6","3.5"
"MinorImprovement","Milkcan","0","1,191","854","622","202","5.4","2.4"
"MinorImprovement","Milking Shed","0","1,150","309","104","20","6.2","0.2"
"MinorImprovement","Milking Stool","0","1,585","1,550","1,267","462","2.4","4.2"
"MinorImprovement","Millstone","0","1,170","314","151","26","5.9","0.3"
"MinorImprovement","Mini Pasture","0","1,457","1,414","1,279","360","3.3","3.5"
"MinorImprovement","Moldboard Plow","0","1,401","1,199","1,034","240","3.6","2.4"
"MinorImprovement","Mountain Cave","0","1,527","1,343","1,078","287","4.2","2.7"
"MinorImprovement","Mud Patch","0","200","185","169","47","3.7","3.4"
"MinorImprovement","Muddy Bog","0","52","49","43","22","3.4","6.0"
"MinorImprovement","Muddy Land","0","1,286","1,163","980","279","3.4","3.1"
"MinorImprovement","Muddy Waters","0","1,323","1,258","1,115","351","3.3","3.8"
"MinorImprovement","Nail Basket","0","1,124","952","704","202","4.3","2.6"
"MinorImprovement","Necklace","1","1,149","342","207","50","5.9","0.6"
"MinorImprovement","Night Bazaar","0","1,030","604","396","118","5.7","1.6"
"MinorImprovement","Oak Cask","0","1,452","943","702","205","5.0","2.0"
"MinorImprovement","Open Fields","0","1,073","148","102","36","6.1","0.5"
"MinorImprovement","Open Gate","0","1,414","1,220","862","235","4.4","2.4"
"MinorImprovement","Orchard","0","1,380","1,249","827","247","4.4","2.6"
"MinorImprovement","Outhouse","0","990","398","202","41","5.7","0.6"
"MinorImprovement","Overgrown Pond","0","979","946","791","246","3.4","3.6"
"MinorImprovement","Ox Goad","1","1,320","1,114","873","274","3.6","3.0"
"MinorImprovement","Ox Skull","0","1,199","245","130","43","6.1","0.5"
"MinorImprovement","Ox Team","0","1,605","1,463","1,095","391","2.7","3.5"
"MinorImprovement","Oyster Recipe","0","929","570","357","82","5.4","1.3"
"MinorImprovement","Paintbrush","0","1,232","929","533","153","4.9","1.8"
"MinorImprovement","Panda","0","1,161","602","248","94","5.4","1.2"
"MinorImprovement","Paper Oven","1","869","679","456","132","4.6","2.2"
"MinorImprovement","Par Force Hunting","0","1,375","744","422","99","5.4","1.0"
"MinorImprovement","Parchment","0","1,166","1,002","686","251","3.4","3.1"
"MinorImprovement","Park Cemetary","0","1,582","1,392","1,218","359","3.7","3.2"
"MinorImprovement","Pastureland","0","1,279","1,044","762","257","4.3","2.9"
"MinorImprovement","Paved Road","0","1,269","920","367","121","5.3","1.4"
"MinorImprovement","Peasants Boutique","0","1,361","903","454","143","5.0","1.5"
"MinorImprovement","Pelts","0","1,631","1,565","1,314","461","2.5","4.0"
"MinorImprovement","Pepper Patch","0","954","734","516","128","4.9","1.9"
"MinorImprovement","Pet Door","0","1,179","583","308","68","5.6","0.8"
"MinorImprovement","Petting Zoo","0","1,571","1,452","979","295","3.3","2.7"
"MinorImprovement","Pig Wallow","0","1,375","1,111","828","265","4.5","2.8"
"MinorImprovement","Piggy Bank","0","1,250","976","753","211","4.1","2.4"
"MinorImprovement","Plane","0","1,143","177","89","21","5.9","0.3"
"MinorImprovement","Planter Box","0","1,539","1,432","1,324","415","3.3","3.9"
"MinorImprovement","Plow Feast","0","885","835","658","184","3.8","3.0"
"MinorImprovement","Plowman's Lunch","0","998","797","540","187","4.0","2.7"
"MinorImprovement","Plum Patch","0","1,559","1,516","1,189","388","2.8","3.6"
"MinorImprovement","Pole Barns","0","1,176","976","603","221","4.2","2.7"
"MinorImprovement","Popcorn","0","1,260","1,179","993","259","2.9","2.9"
"MinorImprovement","Postbox","0","335","190","153","32","4.6","1.4"
"MinorImprovement","Potato Dibber","0","1,389","758","448","118","5.6","1.2"
"MinorImprovement","Potatoes","0","1,025","994","788","249","3.2","3.5"
"MinorImprovement","Powder Keg","0","1,221","902","651","178","4.4","2.1"
"MinorImprovement","Present","0","918","777","625","194","5.0","3.0"
"MinorImprovement","Private Forest","0","1,424","1,307","1,100","312","3.3","3.1"
"MinorImprovement","Private Oven","0","979","907","569","171","3.8","2.5"
"MinorImprovement","Prize-winning Sheep","0","1,368","587","360","119","6.0","1.2"
"MinorImprovement","Prized Squash","0","1,289","1,188","783","253","3.2","2.8"
"MinorImprovement","Probiotic Food","0","1,183","1,027","766","217","4.6","2.6"
"MinorImprovement","Public Forest","0","1,246","1,047","780","215","4.0","2.5"
"MinorImprovement","Pumpkin Trellis","1","679","668","577","231","1.7","4.9"
"MinorImprovement","Punner","0","1,404","1,021","658","171","3.9","1.7"
"MinorImprovement","Quarry","0","1,539","1,539","1,421","491","1.1","4.6"
"MinorImprovement","Raft","0","1,416","861","542","109","4.9","1.1"
"MinorImprovement","Rake","0","1,354","1,261","894","287","4.0","3.0"
"MinorImprovement","Ram","0","1,314","873","504","151","5.0","1.6"
"MinorImprovement","Raspberries","0","1,574","1,535","1,467","437","2.7","4.0"
"MinorImprovement","Redcurrant","0","21","20","19","4","3.0","2.7"
"MinorImprovement","Reed Exchange","0","1,390","1,032","601","155","5.1","1.6"
"MinorImprovement","Reed Hut","1","20","7","5","3","1.3","2.1"
"MinorImprovement","Reed Nursery","0","1,299","938","484","134","5.3","1.5"
"MinorImprovement","Reed Pond","0","1,500","1,497","1,351","465","1.9","4.4"
"MinorImprovement","Renovation Materials","0","1,242","869","468","126","4.9","1.4"
"MinorImprovement","Riding Plow","0","1,502","1,419","1,302","381","2.0","3.6"
"MinorImprovement","River Mill","0","930","615","315","89","4.5","1.4"
"MinorImprovement","Rock Garden","0","1,190","788","576","126","5.4","1.5"
"MinorImprovement","Rock Pyramid","0","1,341","846","681","241","4.4","2.6"
"MinorImprovement","Rooster","0","814","784","557","170","3.6","3.0"
